field,files_present,rows,finite_rows,missing_rows,missing_rate,zero_rows,zero_rate_among_finite,positive_rows,negative_rows,late_missing_rows,late_missing_rate,min,max,constant_batch_rate,mean_batch_sample_mode_rate,max_batch_sample_mode_rate,max_batch_sample_mode_value,assessment
price_zscore,1397,401237285,268708472,132528813,0.33030034334919794,33517693,0.12473627180612303,117060585,118130194,71153961,0.2654538111178738,-4.248529180541638,4.248529166010415,0.0002933411557641537,0.12487564670557962,1.0,-1.531639111312345,review_late_missing
price_zscore_w10,1227,367753950,245846308,121907642,0.33149240681167397,69837868,0.2840712499127707,87841352,88167088,69148110,0.2814583482156213,-2.8460498943956103,2.846049894330797,0.0003211819495744339,0.28409760690197333,1.0,-1.161895003834894,review_late_missing
price_zscore_w40,1227,367753950,243264613,124489337,0.33851257613956287,24162146,0.0993245408858542,108986255,110116212,49711404,0.20234377566240683,-6.1664414377575065,6.166441437496545,0.00016059097478721696,0.09936640909709515,1.0,-1.984241351345438,review_late_missing
realized_volatility,1397,401237285,367935856,33301429,0.08299684561966868,129876432,0.35298661405807646,238059424,0,2177,8.121725602930402e-06,0.0,0.6673946844575306,0.00044001173364623054,0.3531766706923318,1.0,0.003916747272560099,ok
realized_volatility_w10,1227,367753950,352490621,15263329,0.04150418778642622,169738044,0.48153917831476145,182752577,0,2121,8.633253411630959e-06,0.0,0.6673946844575306,0.0003211819495744339,0.4816124834240382,1.0,0.003036023227069218,ok
realized_volatility_w40,1227,367753950,306712446,61041504,0.1659846318441991,87132907,0.28408663598868106,219579539,0,2353,9.577579103049338e-06,0.0,0.7261837790527397,0.0003211819495744339,0.2843476607094775,1.0,0.00463296679881371,ok
returns,1357,388906761,380834277,8072484,0.020756862079854662,242191842,0.635950744528177,69010804,69631631,2101,8.086707331065153e-06,-0.4869565217391304,0.31506849315068486,0.0006047777441790142,0.6331669815531223,1.0,0.0,ok
returns_w10,1227,367753950,352490621,15263329,0.04150418778642622,196270700,0.5568111271817358,77644184,78575737,2121,8.633253411630959e-06,-0.4869565217391304,0.31506849315068486,0.0003211819495744339,0.5568419324993428,1.0,-0.0017513134851138146,ok
returns_w20,1227,367753950,337231221,30522729,0.08299769179909557,155232081,0.46031349214846273,90267410,91731730,2177,8.861194095766429e-06,-0.4869565217391304,0.31506849315068486,0.0003211819495744339,0.4603170054740793,1.0,-0.0017513134851138146,ok
returns_w3,1227,367753950,363172201,4581749,0.012458734977557685,258909702,0.7129116746465956,51821587,52440912,2093,8.519283069563223e-06,-0.4869565217391304,0.31506849315068486,0.0020876826722338203,0.7119030582308284,1.0,0.0,ok
roc,1397,401237285,381254856,19982429,0.04980202425604589,194530840,0.5102383272988397,92651435,94072581,2129,7.942652185869925e-06,-48.6956517504726,31.506848883467818,0.00044001173364623054,0.510261575934873,1.0,-0.34965034353758173,ok
roc_w24,1227,367753950,331127462,36626488,0.0995950906849539,143984923,0.43483232145813383,92784432,94358107,2210,8.995516284631974e-06,-48.6956517504726,31.506848883467818,0.0003211819495744339,0.4347367372325755,1.0,-0.17513134544428482,ok
roc_w5,1227,367753950,360120321,7633629,0.02075743578009155,233909684,0.6495320323787005,62779003,63431634,2101,8.551846024439719e-06,-48.6956517504726,31.506848883467818,0.00048177292436165086,0.646760049687331,1.0,0.0,ok
rsi,1397,401237285,379593780,21643505,0.05394190871369295,191079194,0.5033780953945031,188514586,0,0,0.0,0.0,99.9999993069307,0.0008800234672924611,0.5087290830602896,1.0,0.0,ok
rsi_w28,1227,367753950,326553300,41200650,0.11203319502074689,139128064,0.4260500935069405,187425236,0,0,0.0,0.0,99.99999872122764,0.0003211819495744339,0.4305379111931046,1.0,33.33177785036699,ok
rsi_w7,1227,367753950,358598250,9155700,0.024896265560165973,232855889,0.649350321704024,125742361,0,0,0.0,0.0,99.99999966052377,0.0009635458487233017,0.6508517957945867,1.0,0.0,ok
stochastic,1397,401237285,376260230,24977055,0.06225008475969525,202362017,0.5378246247284758,173898213,0,2144,7.998612628701324e-06,0.0,99.99999995049505,0.0008800234672924611,0.538419857427843,1.0,0.0,ok
stochastic_w28,1227,367753950,323497766,44256184,0.12034183181445093,157533836,0.48697039842927387,165963930,0,2252,9.166471797733578e-06,0.0,99.99999995432955,0.0003211819495744339,0.48629165096390636,1.0,16.666583333749998,ok
stochastic_w7,1227,367753950,355542500,12211450,0.03320548970310176,227094032,0.6387254181989495,128448468,0,2114,8.604760826114025e-06,0.0,99.99999995049505,0.0012847277982977357,0.6391316967148383,1.0,0.0,ok
trade_direction_persistence,1397,401237285,319654532,81582753,0.20332794595596967,4685887,0.014659222788682376,244606886,70361759,2451,9.143936358650627e-06,-1.0,1.0,0.00044001173364623054,0.2815667279917127,1.0,0.33333333333333326,likely_session_warmup
